223;229;225;178;land;false;plains;1
224;208;253;212;land;true;jungle;1
225;246;35;244;land;true;plains;1
226;245;237;143;land;false;martian_plains;2
227;203;210;109;land;false;mountain;1
228;191;221;91;land;true;urban;1
229;233;196;130;land;false;urban;1
230;93;244;190;land;false;plains;1
231;227;209;207;land;true;plains;1
232;137;214;247;land;true;plains;1
233;221;201;187;land;false;plains;1
234;163;249;210;land;false;plains;1
235;246;250;92;land;true;plains;1
236;154;244;177;land;false;plains;1
237;180;150;217;land;false;urban;1
238;118;183;208;land;false;urban;1
239;147;164;199;land;false;plains;1
240;228;206;117;land;false;urban;1
241;102;227;253;land;false;martian_plains;2
242;244;206;154;land;true;desert;1
243;248;188;112;land;true;plains;1
244;139;229;193;land;false;plains;1
245;240;133;246;land;false;marsh;1
246;174;242;161;land;false;urban;1
247;103;169;231;land;false;plains;1
248;133;219;240;land;false;plains;1
249;171;109;242;land;false;plains;1
250;195;156;191;land;true;plains;1
251;166;252;175;land;false;plains;1
252;114;252;245;land;true;jungle;1
253;246;238;206;land;false;plains;1
254;191;208;224;land;true;jungle;1
255;236;70;198;land;false;mountain;1
256;250;105;169;land;false;plains;1
257;230;250;64;land;false;plains;1
258;243;229;218;land;true;plains;1
259;131;176;218;land;true;urban;1
260;249;133;231;land;false;jungle;1
261;212;205;166;land;false;plains;1
262;53;223;236;land;false;plains;1
263;208;142;154;land;true;plains;1
264;167;235;111;land;false;plains;1
265;138;166;221;land;false;urban;1
266;167;185;172;land;false;plains;1
267;225;150;177;land;false;plains;1
268;99;241;240;land;false;jungle;1
269;216;239;220;land;false;plains;1
270;202;227;196;land;false;plains;1
271;220;183;206;land;false;plains;1
272;108;244;167;land;false;plains;1
273;208;246;146;land;false;plains;1
274;176;208;142;land;false;plains;1
275;79;198;227;land;false;plains;1
276;212;155;237;land;true;urban;1
277;191;171;221;land;false;desert;1
278;200;210;111;land;false;plains;1
279;233;177;159;land;false;plains;1
280;158;244;155;land;true;plains;1
281;228;175;254;land;true;urban;1
282;232;164;250;land;false;plains;1
283;157;235;125;land;false;plains;1
284;217;175;166;land;true;urban;1
285;239;203;204;land;true;plains;1
286;179;179;164;land;false;urban;1
287;235;149;225;land;false;plains;1
288;215;114;254;land;false;plains;1
289;230;153;192;land;false;urban;1
290;145;239;215;land;false;urban;1
291;206;127;176;land;false;urban;1
292;172;202;162;land;true;urban;1
293;245;219;161;land;false;mountain;1
294;172;154;244;land;false;urban;1
295;203;152;158;land;false;plains;1
296;185;120;211;land;false;plains;1
297;242;207;234;land;true;urban;1
298;241;161;141;land;false;plains;1
299;193;226;251;land;false;urban;1
300;205;188;223;land;true;plains;1
301;172;244;194;land;false;mountain;1
302;141;214;227;land;false;urban;1
303;194;246;91;land;false;plains;1
304;137;159;237;land;true;plains;1
305;241;239;69;land;false;urban;1
306;232;143;220;land;true;plains;1
307;160;248;146;land;false;plains;1
308;248;64;221;land;true;urban;1
309;209;112;247;land;false;plains;1
310;191;97;247;land;true;plains;1
311;135;183;211;land;false;desert;1
312;228;210;174;land;false;plains;1
313;214;207;173;land;true;plains;1
314;221;135;200;land;false;urban;1
315;200;162;180;land;true;plains;1
316;233;229;114;land;false;jungle;1
317;174;209;234;land;false;plains;1
318;237;143;198;land;false;urban;1
319;125;250;143;land;false;jungle;1
320;186;253;128;land;true;plains;1
321;214;196;239;land;false;plains;1
322;238;189;244;land;false;jungle;1
323;187;213;253;land;true;urban;1
324;221;238;122;land;false;plains;1
325;123;224;240;land;false;plains;1
326;108;230;204;land;true;plains;3
327;173;245;131;land;true;desert;1
328;212;57;245;land;false;urban;1
329;193;200;227;land;false;plains;1
330;230;180;152;land;true;plains;1
331;201;173;134;land;false;urban;1
332;212;188;185;land;false;urban;1
333;248;44;245;land;false;plains;1
334;191;220;211;land;false;plains;1
335;197;237;218;land;false;desert;1
336;199;200;177;land;true;jungle;1
337;87;218;246;land;false;mountain;1
338;238;247;39;land;true;plains;1
339;68;231;249;land;false;desert;1
340;89;237;234;land;false;urban;1
341;239;201;204;land;false;plains;1
342;249;221;79;land;false;plains;1
343;195;198;116;land;false;plains;1
344;234;95;183;land;false;martian_plains;2
345;129;238;188;land;false;urban;1
346;132;200;180;land;true;plains;1
347;156;212;152;land;true;plains;1
348;243;101;205;land;true;urban;1
349;247;140;208;land;false;mountain;1
350;152;227;123;land;false;urban;1
351;250;191;164;land;true;desert;1
352;127;171;228;land;false;urban;1
353;78;212;240;land;false;plains;1
354;247;150;105;land;true;plains;1
355;252;230;20;land;false;plains;1
356;193;211;98;land;true;urban;1
357;121;169;233;land;false;martian_plains;2
358;102;226;253;land;true;plains;1
359;81;244;180;land;false;plains;1
360;114;250;149;land;true;urban;1
361;217;115;206;land;false;desert;1
362;159;105;242;land;false;plains;1
363;235;215;250;land;false;desert;1
364;180;140;224;land;false;plains;1
365;127;238;191;land;false;hills;1
366;193;191;148;land;false;urban;1
367;154;145;254;land;false;mountain;1
368;142;223;206;land;false;plains;1
369;158;211;152;land;true;plains;1
370;232;58;251;land;false;plains;1
371;225;176;110;land;false;plains;1
372;84;251;204;land;false;plains;1
373;217;92;231;land;false;plains;1
374;213;115;227;land;true;urban;1
375;248;240;203;land;false;urban;1
376;191;139;187;land;false;mountain;1
377;242;211;73;land;true;plains;1
378;239;228;119;land;false;hills;1
379;146;218;172;land;true;desert;1
380;193;232;100;land;true;plains;1
381;176;232;137;land;false;plains;1
382;76;239;240;land;false;plains;1
383;196;158;148;land;false;desert;1
384;151;210;253;land;false;urban;1
385;239;245;103;land;true;desert;1
386;217;150;196;land;false;plains;1
387;65;244;241;land;false;plains;1
388;183;205;160;land;true;plains;1
389;223;200;153;land;true;urban;1
390;207;157;252;land;true;desert;1
391;151;172;217;land;false;plains;1
392;179;121;208;land;true;urban;1
393;165;185;194;land;true;plains;1
394;71;209;232;land;false;urban;1
395;193;162;172;land;true;jungle;1
396;184;245;137;land;false;desert;1
397;212;220;181;land;true;plains;1
398;184;164;223;land;true;plains;1
399;163;217;227;land;true;plains;1
400;71;225;231;land;false;urban;1
401;246;172;138;land;false;desert;1
402;240;116;227;land;false;urban;1
403;245;113;166;land;false;plains;1
404;210;211;151;land;true;hills;1
405;248;142;232;land;true;plains;1
406;112;155;247;land;false;plains;1
407;176;136;231;land;false;plains;1
408;253;225;112;land;false;plains;1
409;242;171;234;land;true;plains;1
410;200;106;209;land;true;plains;1
411;241;82;252;land;true;plains;1
412;222;236;95;land;false;plains;1
413;251;73;195;land;false;desert;1
414;219;158;183;land;false;mountain;1
415;204;130;214;land;false;hills;1
416;179;185;185;land;true;jungle;1
417;187;251;122;land;true;plains;1
418;182;153;178;land;false;plains;1
419;222;165;223;land;false;jungle;1
420;234;244;194;land;false;urban;1
421;154;152;204;land;true;plains;1
422;150;178;210;land;false;plains;1
423;74;217;232;land;false;desert;1
424;233;178;174;land;true;urban;1
425;75;187;254;land;false;plains;1
426;176;245;124;land;false;plains;1
427;188;199;212;land;true;plains;1
428;197;187;230;land;false;plains;1
429;121;249;223;land;false;martian_plains;2
430;233;83;190;land;false;plains;1
431;161;200;181;land;true;jungle;1
432;80;242;235;land;false;mountain;1
433;187;210;141;land;false;jungle;1
434;205;167;146;land;false;jungle;1
435;230;130;235;land;false;mountain;1
436;174;238;127;land;false;plains;1
437;116;194;232;land;false;desert;1
438;163;209;188;land;true;urban;1
439;95;170;241;land;false;plains;1
440;201;193;180;land;false;desert;1
441;139;191;213;land;false;plains;1
442;224;211;81;land;false;plains;1
443;214;171;124;land;true;plains;1
444;224;226;179;land;false;jungle;1
445;246;124;162;land;false;plains;1
446;237;132;241;land;false;plains;1
447;215;103;250;land;true;urban;1
448;241;157;109;land;true;plains;1
449;201;163;195;land;false;plains;1
450;163;254;169;land;false;plains;1
451;241;161;99;land;false;urban;1
452;202;172;225;land;false;plains;1
453;251;149;165;land;false;plains;1
454;201;218;174;land;false;plains;1
455;194;242;173;land;false;plains;1
456;193;99;249;land;true;jungle;1
457;194;186;247;land;true;desert;1
458;208;219;177;land;false;hills;1
459;250;191;143;land;false;urban;1
460;200;60;246;land;false;desert;1
461;134;197;221;land;false;martian_plains;2
462;185;227;200;land;false;urban;1
463;180;243;89;land;false;plains;1
464;241;239;30;land;false;desert;1
465;242;74;223;land;false;desert;1
466;170;244;247;land;false;mountain;1
467;208;221;133;land;true;hills;1
468;81;250;244;land;true;jungle;1
469;251;217;74;land;false;plains;1
470;253;222;44;land;false;jungle;1
471;232;222;89;land;false;plains;1
472;193;186;128;land;true;urban;1
473;202;127;229;land;false;mountain;1
474;204;178;237;land;true;urban;1
475;213;124;204;land;false;mountain;1
476;228;113;243;land;false;plains;1
477;112;216;187;land;false;plains;1
478;179;118;242;land;false;desert;1
479;205;144;192;land;false;desert;1
480;180;124;199;land;true;urban;1
481;244;224;100;land;false;plains;1
482;156;166;215;land;false;plains;1
483;213;239;141;land;false;plains;1
484;180;235;91;land;false;plains;1
485;158;169;254;land;false;urban;1
486;187;121;196;land;false;plains;1
487;99;236;252;land;true;plains;1
488;252;207;165;land;false;jungle;1
489;237;198;207;land;true;urban;1
490;216;217;137;land;true;plains;1
491;127;157;225;land;false;plains;1
492;206;247;148;land;true;plains;1
493;200;234;99;land;false;desert;1
494;89;237;187;land;true;urban;1
495;202;168;226;land;false;mountain;1
496;178;193;234;land;false;plains;1
497;218;247;214;land;false;urban;1
498;189;144;189;land;false;urban;1
499;174;184;246;land;true;urban;1
500;184;168;227;land;true;urban;1
501;173;250;225;land;true;plains;1
502;108;251;185;land;false;plains;1
503;229;243;68;land;true;plains;1
504;191;232;250;land;false;urban;1
505;206;217;97;land;false;urban;1
506;240;199;79;land;true;plains;1
507;252;205;161;land;true;plains;1
508;187;240;221;land;false;mountain;1
509;246;130;247;land;false;urban;1
510;220;239;218;land;false;jungle;1
511;239;77;253;land;false;plains;1
512;176;196;229;land;true;plains;1
513;153;181;213;land;false;desert;1
514;154;235;122;land;false;desert;1
515;202;131;175;land;false;plains;1
516;226;187;160;land;false;plains;1
517;181;252;83;land;false;jungle;1
518;216;203;150;land;true;urban;1
519;250;251;30;land;false;desert;1
520;251;71;225;land;false;plains;1
521;234;175;95;land;false;urban;1
522;195;103;210;land;false;urban;1
523;194;156;169;land;false;plains;1
524;221;196;245;land;false;plains;1
525;144;225;142;land;false;plains;1
526;212;200;242;land;false;urban;1
527;173;170;195;land;false;urban;1
528;190;180;179;land;false;desert;1
529;244;170;160;land;false;mountain;1
530;189;251;200;land;true;urban;1
531;177;248;179;land;false;plains;1
532;227;46;247;land;true;jungle;1
533;101;193;232;land;false;mountain;1
534;200;204;180;land;false;plains;1
535;108;150;245;land;false;desert;1
536;184;113;234;land;false;urban;1
537;239;245;186;land;false;urban;1
538;223;178;192;land;false;plains;1
539;150;182;214;land;false;plains;1
540;178;169;179;land;false;plains;1
541;207;113;250;land;false;urban;1
542;240;128;202;land;true;urban;1
543;219;218;207;land;false;jungle;1
544;124;200;208;land;false;plains;1
545;146;251;130;land;false;mountain;1
546;226;160;219;land;false;martian_plains;2
547;186;249;125;land;true;urban;1
548;229;173;223;land;false;plains;1
549;129;241;161;land;true;plains;1
550;115;187;235;land;true;urban;1
551;224;126;193;land;false;jungle;1
552;230;236;104;land;false;plains;1
553;238;185;217;land;false;plains;1
554;216;215;77;land;false;plains;1
555;232;122;176;land;false;desert;1
556;171;181;207;land;false;urban;1
557;208;163;151;land;true;urban;1
558;119;252;210;land;true;plains;1
559;241;131;209;land;false;plains;1
560;167;197;238;land;true;urban;1
561;220;153;207;land;false;desert;1
562;188;134;203;land;false;urban;1
563;234;250;50;land;true;plains;1
564;193;163;238;land;false;urban;1
565;188;188;136;land;true;plains;1
566;172;194;163;land;false;urban;1
567;252;244;14;land;false;desert;1
568;40;230;239;land;false;desert;1
569;245;190;146;land;true;desert;1
570;203;203;251;land;true;urban;1
571;213;212;173;land;false;plains;1
572;121;223;211;land;false;plains;1
573;200;250;84;land;true;desert;1
574;240;42;236;land;true;urban;1
575;190;190;204;land;true;asteroid;3
576;230;111;197;land;false;plains;1
577;182;247;207;land;true;plains;1
578;179;252;137;land;true;desert;1
579;253;181;247;land;false;desert;1
580;249;211;108;land;false;plains;1
581;228;240;50;land;true;plains;1
582;252;244;100;land;true;plains;1
583;118;221;175;land;false;plains;1
584;249;165;159;land;true;martian_plains;2
585;178;178;225;land;false;plains;1
586;157;133;233;land;false;urban;1
587;178;175;212;land;false;plains;1
588;76;250;241;land;false;plains;1
589;233;111;193;land;false;urban;1
590;147;186;173;land;false;urban;1
591;246;214;145;land;true;plains;1
592;246;227;52;land;true;urban;1
593;242;245;129;land;false;urban;1
594;86;182;234;land;false;urban;1
595;233;159;110;land;false;plains;1
596;182;207;211;land;false;plains;1
597;148;242;147;land;true;plains;3
598;179;244;212;land;false;desert;1
599;173;218;142;land;false;plains;1
600;248;128;198;land;true;desert;1
601;129;180;230;land;false;plains;1
602;209;169;217;land;false;plains;1
603;249;141;172;land;false;desert;1
604;253;120;158;land;false;desert;1
605;242;232;154;land;false;plains;1
606;214;197;166;land;false;desert;1
607;213;241;212;land;false;plains;1
608;76;244;236;land;false;plains;1
609;152;162;241;land;true;urban;1
610;138;177;208;land;true;plains;1
611;56;245;200;land;false;plains;1
612;170;214;227;land;false;plains;1
613;224;152;190;land;true;urban;1
614;221;173;187;land;false;plains;1
615;248;211;100;land;false;plains;1
616;222;205;86;land;true;plains;1
617;201;171;141;land;false;plains;1
618;128;203;189;land;false;jungle;1
619;213;157;252;land;false;desert;1
620;118;247;198;land;false;plains;1
621;75;229;254;land;false;plains;1
622;199;77;227;land;false;urban;1
623;213;193;193;land;false;desert;1
624;221;229;148;land;false;plains;1
625;221;230;247;land;false;mountain;1
626;213;233;216;land;false;urban;1
627;254;29;254;land;false;urban;1
628;206;183;134;land;true;jungle;1
629;176;188;189;land;false;urban;1
630;248;106;248;land;false;plains;1
631;190;113;237;land;false;urban;1
632;145;158;207;land;false;urban;1
633;184;115;214;land;true;urban;1
634;240;222;53;land;false;plains;1
635;105;221;175;land;false;desert;1
636;192;207;218;land;false;urban;1
637;239;237;208;land;false;plains;1
638;190;57;254;land;false;plains;1
639;154;180;254;land;false;plains;1
640;223;251;145;land;true;urban;1
641;69;232;250;land;false;plains;1
642;172;226;130;land;true;desert;1
643;238;68;202;land;false;jungle;1
644;169;231;129;land;true;urban;1
645;204;114;249;land;false;urban;1
646;196;119;249;land;false;plains;1
647;252;247;195;land;false;desert;1
648;237;140;193;land;false;jungle;1
649;201;174;190;land;false;plains;1
650;180;249;243;land;false;plains;1
651;233;228;131;land;false;desert;1
652;239;137;129;land;false;urban;1
653;238;215;132;land;false;plains;1
654;200;182;242;land;false;plains;1
655;196;222;144;land;false;plains;1
656;237;96;215;land;false;plains;1
657;210;173;194;land;true;jungle;1
658;112;253;233;land;false;urban;1
659;238;180;139;land;false;plains;1
660;162;179;235;land;false;jungle;1
661;239;153;245;land;false;plains;1
662;168;222;217;land;false;plains;1
663;251;190;97;land;true;desert;1
664;106;224;178;land;false;mountain;1
665;113;227;246;land;false;urban;1
666;244;206;229;land;false;plains;1
667;242;206;243;land;false;mountain;1
668;105;165;245;land;false;plains;1
669;188;176;149;land;false;plains;1
670;246;84;228;land;false;jungle;1
671;228;127;191;land;false;plains;1
672;56;249;239;land;true;urban;1
673;218;214;198;land;false;mountain;1
674;165;143;219;land;false;plains;1
675;194;226;180;land;false;jungle;1
676;223;164;151;land;false;urban;1
677;200;137;210;land;false;plains;1
678;191;233;111;land;false;plains;1
679;232;156;128;land;false;desert;1
680;175;225;143;land;false;plains;1
681;27;248;254;land;true;jungle;1
682;240;88;254;land;true;urban;1
683;52;253;236;land;false;plains;1
684;170;178;217;land;false;desert;1
685;176;249;105;land;true;urban;1
686;193;239;223;land;false;jungle;1
687;144;244;240;land;false;jungle;1
688;159;233;209;land;true;jungle;1
689;154;191;209;land;true;plains;1
690;92;203;226;land;true;plains;1
691;231;145;166;land;false;plains;1
692;46;248;229;land;false;urban;1
693;242;246;210;land;false;urban;1
694;70;194;240;land;false;desert;1
695;89;246;210;land;true;desert;1
696;223;221;215;land;true;plains;1
697;239;200;225;land;false;mountain;1
698;210;175;173;land;false;urban;1
699;122;207;237;land;false;plains;1
700;239;118;197;land;false;hills;1
701;222;45;236;land;false;plains;1
702;173;221;159;land;false;mountain;1
703;116;225;232;land;false;urban;1
704;226;92;232;land;false;desert;1
705;156;216;214;land;false;urban;1
706;245;191;152;land;false;plains;1
707;133;234;195;land;false;plains;1
708;253;218;66;land;false;plains;1
709;254;233;192;land;false;plains;1
710;248;250;207;land;false;plains;1
711;155;187;229;land;true;plains;1
712;184;193;215;land;false;jungle;1
713;217;171;123;land;true;plains;1
714;225;196;184;land;false;urban;1
715;232;195;150;land;false;plains;1
716;196;158;162;land;false;plains;1
717;232;185;211;land;true;plains;1
718;170;245;91;land;false;desert;1
719;149;192;222;land;false;plains;1
720;121;231;154;land;false;desert;1
721;176;119;220;land;true;plains;1
722;253;253;19;land;false;plains;1
723;250;125;234;land;false;urban;1
724;135;210;163;land;true;jungle;1
725;193;113;202;land;false;plains;1
726;225;182;105;land;false;urban;1
727;199;162;154;land;true;plains;1
728;218;140;251;land;false;urban;1
729;251;221;160;land;true;plains;1
730;243;220;79;land;false;plains;1
731;140;197;207;land;true;urban;1
732;134;221;148;land;false;plains;1
733;242;47;242;land;false;desert;1
734;205;189;128;land;false;plains;1
735;93;232;184;land;true;urban;1
736;222;34;252;land;false;urban;1
737;201;249;208;land;false;plains;1
738;244;193;144;land;false;urban;1
739;152;163;252;land;false;hills;1
740;228;179;155;land;false;urban;1
741;233;224;120;land;false;plains;1
742;151;235;211;land;true;urban;1
743;230;156;252;land;false;plains;1
744;206;67;252;land;true;urban;1
745;251;54;229;land;false;desert;1
746;216;226;150;land;true;plains;1
747;128;173;248;land;false;plains;1
748;201;67;236;land;true;plains;1
749;140;227;180;land;false;urban;1
750;105;169;231;land;false;jungle;1
751;221;186;246;land;true;plains;1
752;201;153;248;land;false;urban;1
753;252;110;219;land;true;urban;1
754;186;220;149;land;false;urban;1
755;159;165;185;land;false;mountain;1
756;204;221;120;land;true;desert;1
757;104;219;236;land;false;jungle;1
758;158;221;143;land;false;urban;1
759;225;232;98;land;true;plains;1
760;193;128;199;land;false;asteroid;3
761;197;110;247;land;true;plains;1
762;239;212;118;land;false;plains;1
763;251;177;103;land;true;plains;1
764;190;171;215;land;false;mountain;1
765;195;152;246;land;true;plains;1
766;250;6;245;land;false;desert;1
767;167;250;91;land;false;plains;1
768;239;98;173;land;true;plains;1
769;212;151;229;land;false;urban;1
770;55;217;252;land;false;urban;1
771;192;220;211;land;true;urban;1
772;182;199;252;land;false;urban;1
773;243;248;74;land;false;plains;1
774;249;254;144;land;true;plains;1
775;152;211;160;land;true;plains;1
776;212;246;208;land;false;plains;1
777;124;204;175;land;false;martian_plains;2
778;85;248;186;land;true;plains;1
779;167;238;177;land;false;plains;1
780;114;238;158;land;false;plains;1
781;178;223;148;land;false;plains;1
782;149;247;249;land;true;plains;1
783;217;100;212;land;true;urban;1
784;105;253;251;land;false;plains;1
785;229;119;210;land;false;plains;1
786;242;114;195;land;false;plains;1
787;57;233;218;land;true;plains;1
788;181;109;231;land;false;hills;1
789;145;214;229;land;false;urban;1
790;244;242;89;land;false;desert;1
791;102;228;211;land;false;plains;1
792;182;128;194;land;false;marsh;1
793;210;226;177;land;false;jungle;1
794;224;166;235;land;false;urban;1
795;113;247;211;land;false;desert;1
796;181;231;177;land;true;plains;1
797;221;241;153;land;false;desert;1
798;106;202;210;land;false;plains;1
799;183;150;182;land;true;plains;1
800;239;241;89;land;false;desert;1
801;121;206;186;land;false;plains;1
802;230;207;84;land;false;plains;1
803;106;197;216;land;false;urban;1
804;126;209;179;land;true;urban;1
805;254;175;175;land;true;plains;1
806;224;245;120;land;false;urban;1
807;217;250;190;land;true;urban;1
808;194;165;190;land;false;desert;1
809;223;148;189;land;false;urban;1
810;212;50;246;land;false;plains;1
811;241;240;246;land;false;urban;1
812;214;246;242;land;true;plains;1
813;177;182;184;land;false;urban;1
814;251;254;210;land;false;plains;1
